start,end,fmin,fmax,category
0.57,0.59,,,
4.75,4.76,,,
4.967596270832277,5.015600737326202,,,
5.69,5.7,,,
6.34,6.35,,,
9.420743053612254,9.470028766322704,,,
10.18,10.2,,,
10.54,10.55,,,
10.66,10.68,,,
11.27139517295928,11.319175163564228,,,
11.83,11.84,,,
13.0,13.089219609115805,,,
13.446721989994955,13.49065653905982,,,
13.51,13.54,,,
13.69,13.71,,,
13.99625296096007,14.041404929004964,,,
15.59,15.61,,,
15.78,15.81,,,
17.9791736230538,18.025213687277976,,,
18.09,18.14831494958628,,,
18.26,18.28,,,
18.42,18.44,,,
19.059125325254037,19.13,,,
20.146076838544435,20.208882513330096,,,
20.69,20.72,,,
21.623587911015463,21.67150698349589,,,
22.72,22.74,,,
24.20926689480032,24.328511837536382,,,
24.593999279098853,24.707116439143817,,,
24.8,24.88540942532676,,,
24.93,24.95,,,
24.98726849446694,25.10710050704933,,,
25.188627982551143,25.270210409192813,,,
25.28683085224458,25.384645321425936,,,
25.549916049894836,25.590195932189623,,,
25.62405375533161,25.67641427840505,,,
25.687481045850685,25.738791127119747,,,
26.6,26.61,,,
27.28,27.3262231520386,,,
27.49,27.62935266737427,,,
27.76,27.82367489076796,,,
30.74,30.76,,,
31.58,31.6,,,
31.94,31.96,,,
31.96429451295308,32.025208982626594,,,
32.4,32.42,,,
32.5,32.52,,,
32.75,32.78,,,
32.8,32.83,,,
33.17,33.19,,,
33.63,33.64,,,
35.64953585108121,35.74044392883778,,,
36.0795736065365,36.12329562922319,,,
36.25,36.27,,,
36.76166143623136,36.86569825481801,,,
36.873140061937626,36.91799168930167,,,
36.98,37.02949847982043,,,
37.28,37.35096130873475,,,
37.4,37.45789993805545,,,
37.64861016680797,37.68971918581497,,,
37.73,37.77794238957621,,,
39.33,39.35,,,
40.02,40.03,,,
42.04,42.170682594467486,,,
42.63,42.68594406099546,,,
42.71,42.76535449859642,,,
42.82,42.85,,,
42.9,42.92,,,
43.188678393534246,43.28429347885506,,,
43.34881018225636,43.40024407027733,,,
43.75385226332006,43.802070128633865,,,
43.97,44.02137019899629,,,
44.13,44.15,,,
48.01,48.02,,,
48.04,48.05,,,
48.25,48.28,,,
48.3,48.32,,,
48.8,48.81,,,
48.91,48.98024215005693,,,
49.23,49.26,,,
49.49199189328012,49.53222678756431,,,
49.8,49.82,,,
49.99,50.0,,,
50.33,50.34,,,
51.64,51.66,,,
51.88,51.9,,,
52.23,52.25,,,
53.41,53.459283641278745,,,
54.12,54.14,,,
55.45,55.503542616268,,,
55.71238486996719,55.78046236009825,,,
55.99514349030597,56.04055242324159,,,
56.09855157500221,56.13965591030461,,,
56.22393139549664,56.3386894973261,,,
56.39,56.43537953544231,,,
