start,end,fmin,fmax,category
60.515268433945515,60.72602849159922,,,
71.10835246167012,71.13898294028782,,,
132.168179767813,132.1686702793411,,,
132.16999508114088,132.1715297617373,,,
132.1725483744769,132.17475025754598,,,
132.17513345795018,132.31387156123208,,,
133.32862697652408,133.32876118191652,,,
133.33146846427803,133.33211390466917,,,
133.33405352092925,133.33553762102412,,,
133.33631381571294,133.34244229058424,,,
191.55587741738273,191.87347225541163,,,
198.25859777229172,198.25889785741057,,,
198.26216588834922,198.26277111348654,,,
198.2656621301458,198.2672223528226,,,
198.26971157159124,198.27222438974042,,,
198.27348090994926,198.2768859172435,,,
198.2774714560452,198.28067124156726,,,
198.28118825439896,198.2841445743186,,,
198.28447891381524,198.2871711970795,,,
198.28825572957595,198.29004901386443,,,
198.29192621065036,198.29262132704258,,,
198.2950478521557,198.2959968783742,,,
198.29824613331328,198.29929583475703,,,
198.3016056465251,198.30296250411442,,,
198.3051582117308,198.3066272601627,,,
198.30823071814717,198.31012296849772,,,
198.31132673710584,198.3131749679361,,,
198.31530789845047,198.31599613646665,,,
222.73945509547278,222.7397919238749,,,
222.74176614063128,222.74313586984363,,,
222.74491224984328,222.7465180372908,,,
222.74891152205922,222.75002164324127,,,
269.5239947051661,269.52508805658135,,,
269.52689076991305,269.5622064969653,,,
269.56338798982756,269.5649286264181,,,
269.63046987976344,269.63105691654346,,,
269.6344360147771,269.63715755945157,,,
269.6384759805742,269.65909414135274,,,
269.6591333156682,269.66045087740537,,,
269.66221317431757,269.6626293484228,,,
269.6652822624076,269.66532510133015,,,
269.6689050880784,269.66922489190387,,,
269.67221662402153,269.67273300247535,,,
269.67528964899833,269.6760778633754,,,
269.6778946612846,269.6793046295927,,,
269.6809772945302,269.68252750362666,,,
269.68418780060045,269.6850935374555,,,
269.6873900082139,269.68757713359025,,,
269.7031729127112,269.7039604639865,,,
269.70527768705574,269.7071785040838,,,
269.70816441175486,269.7104591827024,,,
269.7119004340966,269.71372514046374,,,
269.71628908855575,269.7168480575085,,,
269.8410987085104,269.97135824226194,,,
269.97332847295775,269.9739570497047,,,
308.6751888519242,308.7808545136452,,,
309.6365157673189,309.63698267689773,,,
